Yr,Rnd,Pick,DP,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,To,College/Univ,College #,College # Norm,Conference,C#,C# Norm,Grade,SPORQ,SPORQ Normalizado,CarAV,AvgAV (NO SIRVE),Alt1AvgAV,Alt1AAV Cat,Alt2AvgAV,Alt2AAV Cat,AAV 5Cat
2012,1,1,1,0,IND,0,0,Andrew Luck\LuckAn00,QB,0,0,22,"0,3333333333",2018,Stanford,0,0,PAC12,0,0,1,"198,7122297","0,705341152",71,"14,30174023","10,14285714",2,"10,14285714",2,3
2012,1,4,1,0,MIN,1,"0,0303030303",Matt Kalil\KaliMa00,T,10,"0,7142857143",23,"0,5",2017,USC,1,"0,006289308176",PAC12,0,0,"0,9459459459","191,1893205","0,6233168919",40,"10,42495557","6,666666667",1,"5,714285714",1,2
2012,1,6,1,0,DAL,2,"0,06060606061",Morris Claiborne\ClaiMo00,DB,6,"0,4285714286",22,"0,3333333333",2018,LSU,2,"0,01257861635",SEC,1,"0,07142857143","0,9009009009","180,3213145","0,5048201605",24,"7,587454512","3,428571429",0,"3,428571429",0,1
2012,1,9,1,0,CAR,3,"0,09090909091",Luke Kuechly\KuecLu00,LB,5,"0,3571428571",21,"0,1666666667",2018,Boston Col.,3,"0,01886792453",ACC,2,"0,1428571429","0,8918918919","207,7883388","0,8043003596",84,"16,15888308",12,2,12,2,4
2012,1,10,1,0,BUF,4,"0,1212121212",Stephon Gilmore\GilmSt00,DB,6,"0,4285714286",21,"0,1666666667",2018,South Carolina,4,"0,0251572327",SEC,1,"0,07142857143","0,8234234234","192,73935","0,6402172717",42,"10,15888308",6,1,6,1,2
2012,1,11,2,"0,1111111111",KAN,5,"0,1515151515",Dontari Poe\PoexDo00,DT,4,"0,2857142857",22,"0,3333333333",2018,Memphis,5,"0,03144654088",AA,3,"0,2142857143","0,8558558559","205,2011403","0,776091453",51,"11,44459737","7,285714286",1,"7,285714286",1,2
2012,1,12,2,"0,1111111111",PHI,6,"0,1818181818",Fletcher Cox\CoxxFl00,DT,4,"0,2857142857",21,"0,1666666667",2018,Mississippi St.,6,"0,03773584906",SEC,1,"0,07142857143","0,8648648649","185,0825878","0,5567335771",68,"13,8731688","9,714285714",2,"9,714285714",2,3
2012,1,14,2,"0,1111111111",STL,7,"0,2121212121",Michael Brockers\BrocMi00,DT,4,"0,2857142857",21,"0,1666666667",2018,LSU,2,"0,01257861635",SEC,1,"0,07142857143","0,8198198198","177,5378542","0,4744713598",43,"10,30174023","6,142857143",1,"6,142857143",1,2
2012,1,15,2,"0,1111111111",SEA,8,"0,2424242424",Bruce Irvin\IrviBr00,DE,1,"0,07142857143",24,"0,6666666667",2018,West Virginia,7,"0,04402515723",Big12,4,"0,2857142857","0,6936936937","207,4695173","0,8008241648",37,"9,444597369","5,285714286",1,"5,285714286",1,1
2012,1,16,2,"0,1111111111",NYJ,9,"0,2727272727",Quinton Coples\CoplQu00,DE,1,"0,07142857143",22,"0,3333333333",2015,North Carolina,8,"0,05031446541",ACC,2,"0,1428571429","0,8378378378","183,6022511","0,5405930762",19,"7,498872196","4,75",1,"2,714285714",1,1
2012,1,18,2,"0,1111111111",SDG,10,"0,303030303",Melvin Ingram\IngrMe00,DE,1,"0,07142857143",23,"0,5",2018,South Carolina,4,"0,0251572327",SEC,1,"0,07142857143","0,8828828829","198,716027","0,7053825549",43,"10,30174023","6,142857143",1,"6,142857143",1,2
2012,1,19,2,"0,1111111111",CHI,11,"0,3333333333",Shea McClellin\McClSh00,DE,1,"0,07142857143",23,"0,5",2016,Boise St.,9,"0,05660377358",MW,5,"0,3571428571","0,7747747748","194,2224691","0,6563881098",17,"6,695836866","3,4",0,"2,428571429",0,1
2012,1,20,2,"0,1111111111",TEN,12,"0,3636363636",Kendall Wright\WrigKe01,WR,2,"0,1428571429",22,"0,3333333333",2017,Baylor,10,"0,06289308176",Big12,4,"0,2857142857","0,8468468468","190,8280546","0,6193779146",28,"8,424955572","4,666666667",1,4,1,1
2012,1,21,3,"0,2222222222",NWE,13,"0,3939393939",Chandler Jones\JoneCh03,DE,1,"0,07142857143",22,"0,3333333333",2018,Syracuse,11,"0,06918238994",ACC,2,"0,1428571429","0,7693693694","199,3926842","0,7127603266",57,"12,30174023","8,142857143",1,"8,142857143",1,2
2012,1,23,3,"0,2222222222",DET,14,"0,4242424242",Riley Reiff\ReifRi00,T,10,"0,7142857143",23,"0,5",2018,Iowa,12,"0,07547169811",Big10,6,"0,4285714286","0,8558558559","169,8127505","0,3902425198",45,"10,58745451","6,428571429",1,"6,428571429",1,2
2012,1,24,3,"0,2222222222",PIT,15,"0,4545454545",David DeCastro\DeCaDa00,G,9,"0,6428571429",22,"0,3333333333",2018,Stanford,0,0,PAC12,0,0,"0,9189189189","182,5643159","0,5292761954",56,"12,15888308",8,1,8,1,2
2012,1,26,3,"0,2222222222",HOU,16,"0,4848484848",Whitney Mercilus\MercWh00,DE,1,"0,07142857143",22,"0,3333333333",2018,Illinois,13,"0,08176100629",Big10,6,"0,4285714286","0,8018018018","191,6430719","0,6282642629",41,"10,01602594","5,857142857",1,"5,857142857",1,2
